"","x"
"1",-0.0189575409702549
"2",-0.140512544015892
"3",-0.0438973721387846
"4",-0.0681595622977732
"5",-0.123506665841487
"6",-0.0758881442189889
"7",-0.159673651500667
"8",-0.0868419397988148
"9",0.763128837036294
"10",-0.157828603403922
"11",-0.156998918906685
"12",-0.0448988178258259
"13",0.117249264389248
"14",0.259057177636274
"15",0.133274606786144
"16",0.366201077609077
"17",0.580751264347219
"18",0.00686392965203676
"19",0.726693887693663
"20",0.0577416760449998
"21",0.11533808557433
"22",0.465754011679929
"23",0.515804374539081
"24",0.412693537404493
"25",0.375631176248346
"26",0.315725316573018
"27",0.244560561220406
"28",0.594426499090157
"29",0.553514976395408
"30",0.614340565815275
"31",0.460513619434613
"32",0.405022501040251
"33",0.434789780460933
"34",0.0884213636522425
"35",0.118136697298643
"36",-0.0910228195152077
"37",-0.0330913041930141
"38",0.440660465879866
"39",-0.0296837076164884
"40",0.268525390123117
"41",0.27722095845622
"42",-0.0491084534101955
"43",0.322627409834766
"44",0.0911393736043657
"45",-0.0257500532678478
"46",0.120521601708122
"47",-0.0617468314911243
"48",0.0413069633569571
"49",-0.146202136405588
"50",-0.162485184659454
"51",-0.0972543932606269
"52",0.0892628557715488
"53",0.568403990958805
"54",0.711864008241349
"55",0.268203237351827
"56",0.190644584910514
"57",0.227222983444008
"58",0.22923888175012
"59",0.00563550631760187
"60",0.0186281083051379
"61",-0.0647501738273268
"62",0.0966142974834903
"63",0.00286440522090712
"64",0.107184774542249
"65",0.128477284294275
"66",-0.0425335724994518
"67",-0.137041337026334
"68",0.136609029648786
"69",0.118975252816405
"70",0.0980738551188558
"71",0.0669283100438848
"72",0.100212474307173
"73",-0.0639843438676681
"74",-0.0665254889774623
"75",-0.129245883570601
"76",-0.111066408561839
"77",-0.0894412097761575
"78",-0.114090325438623
"79",-0.106280701695463
"80",-0.176855163521345
"81",-0.116984679925346
"82",0.0191385830130462
"83",0.100643501692027
"84",-0.0738584839506978
"85",0.0366659206837845
"86",-0.107957809302975
"87",0.296744104965838
"88",0.347421568964939
"89",0.146528765021899
"90",0.362414577158681
"91",0.0933308319065862
"92",0.198915192133587
"93",0.164602262433314
"94",0.180626974969714
"95",0.176508542669701
"96",0.13915863114281
"97",0.231984399133905
"98",0.22761591795954
"99",0.275903634094278
"100",0.299630039916478
"101",0.248143145293791
"102",0.298344178292225
"103",-0.0563253662456333
"104",-0.17811455761467
"105",0.00203294040607344
"106",-0.0228021826703301
"107",-0.00120223335523259
"108",0.0852174233550815
"109",-0.0764090231135708
"110",0.010021716457227
"111",0.0164116459504524
"112",-0.0387859340607314
"113",-0.0752977678907422
"114",0.0419177728936832
"115",0.193324040163863
"116",0.596929142834757
"117",0.113596590488654
"118",-0.143750037455993
"119",-0.017703372634433
"120",0.284905360305644
"121",0.305506110790081
"122",0.150031306047518
"123",0.134895077180514
"124",0.172850002517171
"125",0.286076202686948
"126",-0.106687747812704
"127",0.244744167628701
"128",0.337120085054441
"129",0.424798955886228
"130",0.0959218807117363
"131",0.0228990332659779
"132",0.143330734833583
"133",0.0871962183916889
"134",0.408741027840698
"135",0.425176879397619
"136",0.361728433798106
"137",-0.035090337102602
"138",-0.0823884534018831
"139",-0.0947423126713461
"140",-0.0875737257999388
"141",-0.0604058365532556
"142",-0.0923982685824997
"143",-0.183197352511771
"144",0.124650111539548
"145",-0.0530011617522309
"146",-0.0399115355023394
"147",0.0101582869105868
"148",0.451828853627882
"149",0.295793699060604
"150",0.615268727440638
"151",-0.0752140533572033
"152",0.132207405430678
"153",0.0895470975019385
"154",-0.0190861265650561
"155",-0.0455526263384431
"156",0.211599524600409
"157",-0.0739728336193097
"158",0.112668376959457
"159",0.138387890734634
"160",-0.00320754958762487
"161",-0.0526431741226432
"162",0.0421681437682951
"163",-0.0674601731964988
"164",-0.0308827969490123
"165",0.0178056473293503
"166",0.0261380727235243
"167",-0.0502875430514179
"168",0.0165356428866789
"169",0.199919013659524
"170",0.482158286186647
"171",0.355110473757339
"172",0.589606339720476
"173",0.368038098748424
"174",-0.0290948664316112
"175",-0.074495323110875
"176",0.262101560649923
"177",-0.00538699270260047
"178",0.258826379921033
"179",0.144110819788134
"180",0.101915017001053
"181",0.0230209931576591
"182",0.0745942517706365
"183",0.25666513917848
"184",0.162401158081575
"185",-0.00345440546112177
"186",0.190141976449422
"187",0.1845812389793
"188",0.120596459903144
"189",-0.176233152232979
"190",-0.144699131045347
"191",0.147074115479382
"192",0.273520382356319
"193",0.109557323180855
"194",-0.092863393705407
"195",-0.182752126177559
"196",-0.00883651325952138
"197",0.356592358548117
"198",-0.0891338953974484
"199",-0.0171851285347596
"200",-0.156323514024889
"201",-0.0425382043678614
"202",0.0102356759846364
"203",-0.00991275418864385
"204",-0.0429103669751222
"205",-0.210567709174877
"206",-0.155957815845994
"207",0.046211272087155
"208",-0.0608082309761103
"209",0.160865052719893
"210",0.615095781190613
"211",0.598343330353565
"212",0.506535630569002
"213",0.191834811439022
"214",-0.0247234620559388
"215",-0.150627163843462
"216",-0.0025000889372143
"217",-0.16620136091602
"218",0.61934986744501
"219",0.53138064158753
"220",0.52011566529959
"221",0.466673962270583
"222",0.518820173291509
"223",0.394191511596485
"224",0.379446208345119
"225",-0.123172035987297
"226",-0.0615655181033848
"227",-0.180133962629886
"228",0.253978075422822
"229",0.139867174963721
"230",0.316429404101665
"231",0.268780499970007
"232",0.279397142771813
"233",0.267260661507342
"234",0.287133842003945
